sample_id,iteration,seed,Total share infected,Peak share infected
0,0,199542040238576363545741008759769549979,0.33636363636363636,0.10909090909090909
0,1,115487532334151965707886607074557698524,0.43636363636363634,0.14545454545454545
0,2,318329565988899254910095418251880070612,0.2909090909090909,0.11818181818181818
0,3,184757218628776148386862451619815915834,0.24545454545454545,0.11818181818181818
0,4,78386689567877459633867108124383826407,0.36363636363636365,0.18181818181818182
0,5,236050612980985685371769479664857546823,0.5818181818181818,0.15454545454545454
0,6,22852912753910292928303888739968457336,0.509090909090909,0.16363636363636364
0,7,53351263580984802327225611899435859742,0.42727272727272725,0.2
0,8,137984760371641714234506776995794045975,0.2818181818181818,0.11818181818181818
0,9,76261712008361966629163180844913873145,0.4909090909090909,0.17272727272727273
1,0,175148764661271136737099680132956299573,0.4008762322015334,0.13581599123767799
1,1,107103617081836558506248321780206616794,0.4173055859802848,0.15005476451259583
1,2,321025506417470937531834383875946175120,0.34063526834611174,0.12814895947426067
1,3,60392058925757746519530676820331407566,0.3493975903614458,0.1171960569550931
1,4,102132897463215482062544332692837677557,0.40744797371303393,0.14895947426067907
1,5,280858178908545082940833905068921293362,0.3833515881708653,0.1533406352683461
1,6,249826105202752114547359312508028407776,0.348302300109529,0.13691128148959475
1,7,221494282772951833109262310699056556385,0.37568455640744797,0.13910186199342825
1,8,237923033090123416957193621059083623724,0.36254107338444685,0.12924424972617743
1,9,59369043540883418782763131215336359879,0.3964950711938664,0.1456736035049288
2,0,214278753182850249827483147248648188519,0.6818181818181818,0.2
2,1,61394171853547412007043078375295192255,0.7272727272727273,0.18181818181818182
2,2,279198051765402227461007196406487638850,0.6363636363636364,0.2545454545454545
2,3,245474424894886655616471749344201172690,0.7909090909090909,0.2
2,4,82501034218983074635566938424810372886,0.8454545454545455,0.2727272727272727
2,5,153401696807939869111048589354614441640,0.7181818181818181,0.2545454545454545
2,6,178196990646000566182080702831141067071,0.6545454545454545,0.21818181818181817
2,7,90290588985892981645054447880732369428,0.7545454545454545,0.2545454545454545
2,8,203266168283192959885439481314872617502,0.9727272727272728,0.3
2,9,271010752111360206966737113483217755344,0.7636363636363637,0.2818181818181818
3,0,187850505591543617070682117007438912306,0.21818181818181817,0.10909090909090909
3,1,314103133609899617283836082984152656391,0.23636363636363636,0.1
3,2,271804781271136261995720297152579264903,0.2545454545454545,0.10909090909090909
3,3,252856899785257258181482186579534495801,0.18181818181818182,0.1
3,4,316212380783767249023225162786485086927,0.17272727272727273,0.1
3,5,286761069083632604156046916330945506987,0.24545454545454545,0.10909090909090909
3,6,264022309675271416377095816481174706213,0.21818181818181817,0.1
3,7,16583810179971950442876436845773281866,0.24545454545454545,0.1
3,8,214727479589799438581597528421206893658,0.24545454545454545,0.11818181818181818
3,9,174751167567436413328867838624323730174,0.2636363636363636,0.1
4,0,175979555545462447820362740729754225658,0.33636363636363636,0.16363636363636364
4,1,11123170118120723191099579307454506544,0.39090909090909093,0.12727272727272726
4,2,239115255014623910615702426426940909024,0.5818181818181818,0.14545454545454545
4,3,164157613357604640616534826269851619672,0.45454545454545453,0.2
4,4,139464969447582177859081520796818237625,0.35454545454545455,0.13636363636363635
4,5,141168313729638345460675210768288249838,0.4909090909090909,0.16363636363636364
4,6,135830159663041269446885740124267648220,0.32727272727272727,0.10909090909090909
4,7,251173104282992774615620941307096917603,0.4090909090909091,0.12727272727272726
4,8,313090880744477302230335727965087796324,0.4909090909090909,0.21818181818181817
4,9,294105615534588287829959280112077243247,0.2909090909090909,0.12727272727272726
5,0,296663093391617262740400390020010584392,0.48630887185104055,0.13143483023001096
5,1,58715176254512916821573592776490916094,0.5169769989047097,0.14348302300109528
5,2,285946896279734495406021022916943486682,0.48083242059145676,0.13362541073384446
5,3,312364545543390318428779408028459427164,0.5761226725082147,0.15443592552026286
5,4,61942053903185188656796019861452194019,0.47316538882803943,0.14238773274917854
5,5,282853452757029856311460094321687430530,0.4249726177437021,0.12924424972617743
5,6,127487153496879842592778080705042834875,0.5180722891566265,0.1456736035049288
5,7,44851476065222453672169177248915410712,0.5005476451259584,0.12924424972617743
5,8,12207683956552614934452205465052527896,0.5224534501642936,0.13362541073384446
5,9,173999662735270328293035744140267112033,0.488499452354874,0.12267250821467689
6,0,224069036460825268937616824317685386750,0.732620320855615,0.1568627450980392
6,1,281464485037548673685502689415821094639,0.7718360071301248,0.1586452762923351
6,2,278034116012392646843711156806092847404,0.8163992869875223,0.18181818181818182
6,3,231632271657663850966827906973468423144,0.750445632798574,0.17825311942959002
6,4,311368203699596187656008176509009576523,0.768270944741533,0.1889483065953654
6,5,298686014061427262995555878431484064430,0.7486631016042781,0.16755793226381463
6,6,25052744702563892250411082543208199494,0.7540106951871658,0.18716577540106952
6,7,167903173428743644842099365939237443077,0.6862745098039216,0.14795008912655971
6,8,86331521204388521417752333299043702257,0.7771836007130125,0.1497326203208556
6,9,62670036521691870320868381905845535906,0.7557932263814616,0.1532976827094474
7,0,116234472090156678175521570580668026142,0.8095238095238095,0.18181818181818182
7,1,277223640392578313915640299406215057154,0.7727272727272727,0.16017316017316016
7,2,233260280194958961235366546550160205993,0.7207792207792207,0.15367965367965367
7,3,320670012234446426818012385843037186546,0.8398268398268398,0.18398268398268397
7,4,316933184682827199076093944549233663656,0.6493506493506493,0.16233766233766234
7,5,91393383016226045123471108040896189156,0.8333333333333334,0.2012987012987013
7,6,186121571807075781315986283217812525171,0.7294372294372294,0.19047619047619047
7,7,297443993215654930270601300639579903753,0.854978354978355,0.18831168831168832
7,8,269056477294187517454943156050747992935,0.79004329004329,0.18831168831168832
7,9,25433970140918307728883731055826919663,0.8138528138528138,0.1645021645021645
8,0,257224747185002179954849520105817376902,0.17290552584670232,0.09982174688057041
